location_id,folder_name,address,image_count,year_range,years
loc_011,1W_CENTURY_LOS_ANGELES_CA,1 W Century Dr Los Angeles CA,3,2018-2021,2018;2019;2021
loc_012,4119_NICOLE_EILEEN_LN_CHARLOTTE_NC,4119 Nicole Eileen Ln Charlotte NC,3,2007-2019,2007;2013;2019
loc_013,8140_MT_HOLLY_RD_CHARLOTTE_NC,8140 Mt Holly Rd Charlotte NC,3,2021-2023,2021;2022;2023
loc_014,1701_MLK_JBLVD_CHAPEL_HILL_NC,1701 MLK Jr Blvd Chapel Hill NC,3,2018-2020,2018;2019;2020
loc_016,300_S_ELLIOT_CHAPEL_HILL_NC,300 S Elliott Rd Unit 1 Chapel Hill NC,2,2015-2024,2015;2024
